time,player,actor_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,boost,throttle,steer
4.918041,BALL,0,0.0,0.0,92.75,,,,,,
4.918041,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
4.918041,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
4.918041,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,
4.918041,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
4.918041,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
4.918041,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
5.1539364,BALL,0,0.0,0.0,92.75,,,,,,
5.1539364,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,248.0,
5.1539364,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
5.1539364,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,
5.1539364,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
5.1539364,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
5.1539364,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
5.28727,BALL,0,0.0,0.0,92.75,,,,,,
5.28727,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
5.28727,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
5.28727,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,
5.28727,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
5.28727,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
5.28727,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.2287717,BALL,0,0.0,0.0,92.75,,,,,,
7.2287717,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
7.2287717,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
7.2287717,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,127.0
7.2287717,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
7.2287717,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.2287717,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.2955813,BALL,0,0.0,0.0,92.75,,,,,,
7.2955813,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
7.2955813,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
7.2955813,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,128.0
7.2955813,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
7.2955813,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.2955813,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.395581,BALL,0,0.0,0.0,92.75,,,,,,
7.395581,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
7.395581,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
7.395581,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,177.0
7.395581,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
7.395581,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.395581,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.4622474,BALL,0,0.0,0.0,92.75,,,,,,
7.4622474,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
7.4622474,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
7.4622474,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,163.0
7.4622474,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
7.4622474,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.4622474,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.5623164,BALL,0,0.0,0.0,92.75,,,,,,
